ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_12x10x9, send_bit_count, port0, Accumulator, 497296000, 67, 5898240, 377487360, 92160, 64, 64
rtr_12x10x9, send_packet_count, port0, Accumulator, 497296000, 67, 92160, 92160, 92160, 1, 1
rtr_12x10x9, output_port_stalls, port0, Accumulator, 497296000, 67, 57258000, 353156000000, 13321, 2000, 24000
rtr_12x10x9, idle_time, port0, Accumulator, 497296000, 67, 223372000, 10805827736000000, 10608, 4000, 103938000
rtr_12x10x9, width_adj_count, port0, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_12x10x9, send_bit_count, port1, Accumulator, 497296000, 67, 4587520, 293601280, 71680, 64, 64
rtr_12x10x9, send_packet_count, port1, Accumulator, 497296000, 67, 71680, 71680, 71680, 1, 1
rtr_12x10x9, output_port_stalls, port1, Accumulator, 497296000, 67, 66000, 140000000, 32, 2000, 4000
rtr_12x10x9, idle_time, port1, Accumulator, 497296000, 67, 353394000, 74685556000000, 12670, 4000, 3980000
rtr_12x10x9, width_adj_count, port1, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_12x10x9, send_bit_count, port2, Accumulator, 497296000, 67, 5898240, 377487360, 92160, 64, 64
rtr_12x10x9, send_packet_count, port2, Accumulator, 497296000, 67, 92160, 92160, 92160, 1, 1
rtr_12x10x9, output_port_stalls, port2, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_12x10x9, idle_time, port2, Accumulator, 497296000, 67, 312976000, 4975408000000, 37063, 4000, 632000
rtr_12x10x9, width_adj_count, port2, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_12x10x9, send_bit_count, port3, Accumulator, 497296000, 67, 4587520, 293601280, 71680, 64, 64
rtr_12x10x9, send_packet_count, port3, Accumulator, 497296000, 67, 71680, 71680, 71680, 1, 1
rtr_12x10x9, output_port_stalls, port3, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_12x10x9, idle_time, port3, Accumulator, 497296000, 67, 353936000, 15236392000000, 35233, 4000, 3124000
rtr_12x10x9, width_adj_count, port3, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_12x10x9, send_bit_count, port4, Accumulator, 497296000, 67, 5898240, 377487360, 92160, 64, 64
rtr_12x10x9, send_packet_count, port4, Accumulator, 497296000, 67, 92160, 92160, 92160, 1, 1
rtr_12x10x9, output_port_stalls, port4, Accumulator, 497296000, 67, 28000, 56000000, 14, 2000, 2000
rtr_12x10x9, idle_time, port4, Accumulator, 497296000, 67, 312020000, 19913296000000, 32146, 4000, 3594000
rtr_12x10x9, width_adj_count, port4, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_12x10x9, send_bit_count, port5, Accumulator, 497296000, 67, 4587520, 293601280, 71680, 64, 64
rtr_12x10x9, send_packet_count, port5, Accumulator, 497296000, 67, 71680, 71680, 71680, 1, 1
rtr_12x10x9, output_port_stalls, port5, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_12x10x9, idle_time, port5, Accumulator, 497296000, 67, 353932000, 77348496000000, 30406, 4000, 8130000
rtr_12x10x9, width_adj_count, port5, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_12x10x9, send_bit_count, port6, Accumulator, 497296000, 67, 2621440, 167772160, 40960, 64, 64
rtr_12x10x9, send_packet_count, port6, Accumulator, 497296000, 67, 40960, 40960, 40960, 1, 1
rtr_12x10x9, output_port_stalls, port6, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_12x10x9, idle_time, port6, Accumulator, 497296000, 67, 415376000, 12341312000000, 27261, 4000, 634000
rtr_12x10x9, width_adj_count, port6, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_12x10x9, xbar_stalls, port0, Accumulator, 497296000, 67, 8832, 8832, 8832, 1, 1
rtr_12x10x9, xbar_stalls, port1, Accumulator, 497296000, 67, 60999, 60999, 60999, 1, 1
rtr_12x10x9, xbar_stalls, port2, Accumulator, 497296000, 67, 5593, 5593, 5593, 1, 1
rtr_12x10x9, xbar_stalls, port3, Accumulator, 497296000, 67, 9670, 9670, 9670, 1, 1
rtr_12x10x9, xbar_stalls, port4, Accumulator, 497296000, 67, 5187, 5187, 5187, 1, 1
rtr_12x10x9, xbar_stalls, port5, Accumulator, 497296000, 67, 7725, 7725, 7725, 1, 1
rtr_12x10x9, xbar_stalls, port6, Accumulator, 497296000, 67, 57833, 57833, 57833, 1, 1
testNic_2476:networkIF, packet_latency, , Accumulator, 497296000, 67, 489711013, 27147370419981, 40960, 147, 221540
testNic_2476:networkIF, send_bit_count, , Accumulator, 497296000, 67, 2621440, 167772160, 40960, 64, 64
testNic_2476:networkIF, output_port_stalls, , Accumulator, 497296000, 67, 82399000, 755941000000, 15963, 1000, 38000
testNic_2476:networkIF, idle_time, , Accumulator, 497296000, 67, 1315000, 32545000000, 104, 2000, 70000
rtr_13x10x9, send_bit_count, port0, Accumulator, 497296000, 67, 5898240, 377487360, 92160, 64, 64
rtr_13x10x9, send_packet_count, port0, Accumulator, 497296000, 67, 92160, 92160, 92160, 1, 1
rtr_13x10x9, output_port_stalls, port0, Accumulator, 497296000, 67, 34030000, 127660000000, 11181, 2000, 16000
rtr_13x10x9, idle_time, port0, Accumulator, 497296000, 67, 250448000, 17683692480000000, 10338, 4000, 132970000
rtr_13x10x9, width_adj_count, port0, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_13x10x9, send_bit_count, port1, Accumulator, 497296000, 67, 4587520, 293601280, 71680, 64, 64
rtr_13x10x9, send_packet_count, port1, Accumulator, 497296000, 67, 71680, 71680, 71680, 1, 1
rtr_13x10x9, output_port_stalls, port1, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_13x10x9, idle_time, port1, Accumulator, 497296000, 67, 353936000, 70338624000000, 13481, 4000, 4042000
rtr_13x10x9, width_adj_count, port1, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_13x10x9, send_bit_count, port2, Accumulator, 497296000, 67, 5898240, 377487360, 92160, 64, 64
rtr_13x10x9, send_packet_count, port2, Accumulator, 497296000, 67, 92160, 92160, 92160, 1, 1
rtr_13x10x9, output_port_stalls, port2, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_13x10x9, idle_time, port2, Accumulator, 497296000, 67, 312976000, 5058792000000, 37005, 4000, 694000
rtr_13x10x9, width_adj_count, port2, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_13x10x9, send_bit_count, port3, Accumulator, 497296000, 67, 4587520, 293601280, 71680, 64, 64
rtr_13x10x9, send_packet_count, port3, Accumulator, 497296000, 67, 71680, 71680, 71680, 1, 1
rtr_13x10x9, output_port_stalls, port3, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_13x10x9, idle_time, port3, Accumulator, 497296000, 67, 353936000, 15620912000000, 35271, 4000, 3186000
rtr_13x10x9, width_adj_count, port3, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_13x10x9, send_bit_count, port4, Accumulator, 497296000, 67, 5898240, 377487360, 92160, 64, 64
rtr_13x10x9, send_packet_count, port4, Accumulator, 497296000, 67, 92160, 92160, 92160, 1, 1
rtr_13x10x9, output_port_stalls, port4, Accumulator, 497296000, 67, 44000, 88000000, 22, 2000, 2000
rtr_13x10x9, idle_time, port4, Accumulator, 497296000, 67, 311948000, 20435432000000, 31802, 4000, 3656000
rtr_13x10x9, width_adj_count, port4, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_13x10x9, send_bit_count, port5, Accumulator, 497296000, 67, 4587520, 293601280, 71680, 64, 64
rtr_13x10x9, send_packet_count, port5, Accumulator, 497296000, 67, 71680, 71680, 71680, 1, 1
rtr_13x10x9, output_port_stalls, port5, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_13x10x9, idle_time, port5, Accumulator, 497296000, 67, 353936000, 80959168000000, 30415, 4000, 8406000
rtr_13x10x9, width_adj_count, port5, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_13x10x9, send_bit_count, port6, Accumulator, 497296000, 67, 2621440, 167772160, 40960, 64, 64
rtr_13x10x9, send_packet_count, port6, Accumulator, 497296000, 67, 40960, 40960, 40960, 1, 1
rtr_13x10x9, output_port_stalls, port6, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_13x10x9, idle_time, port6, Accumulator, 497296000, 67, 415376000, 12356336000000, 27353, 4000, 664000
rtr_13x10x9, width_adj_count, port6, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_13x10x9, xbar_stalls, port0, Accumulator, 497296000, 67, 7966, 7966, 7966, 1, 1
rtr_13x10x9, xbar_stalls, port1, Accumulator, 497296000, 67, 47340, 47340, 47340, 1, 1
rtr_13x10x9, xbar_stalls, port2, Accumulator, 497296000, 67, 5719, 5719, 5719, 1, 1
rtr_13x10x9, xbar_stalls, port3, Accumulator, 497296000, 67, 9740, 9740, 9740, 1, 1
rtr_13x10x9, xbar_stalls, port4, Accumulator, 497296000, 67, 5130, 5130, 5130, 1, 1
rtr_13x10x9, xbar_stalls, port5, Accumulator, 497296000, 67, 7576, 7576, 7576, 1, 1
rtr_13x10x9, xbar_stalls, port6, Accumulator, 497296000, 67, 45331, 45331, 45331, 1, 1
testNic_2477:networkIF, packet_latency, , Accumulator, 497296000, 67, 463855890, 21630262778812, 40960, 147, 194116
testNic_2477:networkIF, send_bit_count, , Accumulator, 497296000, 67, 2621440, 167772160, 40960, 64, 64
testNic_2477:networkIF, output_port_stalls, , Accumulator, 497296000, 67, 59163000, 347533000000, 15068, 1000, 24000
testNic_2477:networkIF, idle_time, , Accumulator, 497296000, 67, 1325000, 33301000000, 102, 2000, 72000
rtr_14x10x9, send_bit_count, port0, Accumulator, 497296000, 67, 5898240, 377487360, 92160, 64, 64
rtr_14x10x9, send_packet_count, port0, Accumulator, 497296000, 67, 92160, 92160, 92160, 1, 1
rtr_14x10x9, output_port_stalls, port0, Accumulator, 497296000, 67, 14770000, 32892000000, 7031, 2000, 8000
rtr_14x10x9, idle_time, port0, Accumulator, 497296000, 67, 277160000, 25962953808000000, 10201, 4000, 161122000
rtr_14x10x9, width_adj_count, port0, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_14x10x9, send_bit_count, port1, Accumulator, 497296000, 67, 4587520, 293601280, 71680, 64, 64
rtr_14x10x9, send_packet_count, port1, Accumulator, 497296000, 67, 71680, 71680, 71680, 1, 1
rtr_14x10x9, output_port_stalls, port1, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_14x10x9, idle_time, port1, Accumulator, 497296000, 67, 353936000, 69741912000000, 14068, 4000, 4104000
rtr_14x10x9, width_adj_count, port1, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_14x10x9, send_bit_count, port2, Accumulator, 497296000, 67, 5898240, 377487360, 92160, 64, 64
rtr_14x10x9, send_packet_count, port2, Accumulator, 497296000, 67, 92160, 92160, 92160, 1, 1
rtr_14x10x9, output_port_stalls, port2, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_14x10x9, idle_time, port2, Accumulator, 497296000, 67, 312976000, 5164472000000, 37092, 4000, 756000
rtr_14x10x9, width_adj_count, port2, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_14x10x9, send_bit_count, port3, Accumulator, 497296000, 67, 4587520, 293601280, 71680, 64, 64
rtr_14x10x9, send_packet_count, port3, Accumulator, 497296000, 67, 71680, 71680, 71680, 1, 1
rtr_14x10x9, output_port_stalls, port3, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_14x10x9, idle_time, port3, Accumulator, 497296000, 67, 353936000, 16030392000000, 35229, 4000, 3248000
rtr_14x10x9, width_adj_count, port3, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_14x10x9, send_bit_count, port4, Accumulator, 497296000, 67, 5898240, 377487360, 92160, 64, 64
rtr_14x10x9, send_packet_count, port4, Accumulator, 497296000, 67, 92160, 92160, 92160, 1, 1
rtr_14x10x9, output_port_stalls, port4, Accumulator, 497296000, 67, 78000, 164000000, 38, 2000, 4000
rtr_14x10x9, idle_time, port4, Accumulator, 497296000, 67, 311604000, 20987744000000, 31509, 4000, 3718000
rtr_14x10x9, width_adj_count, port4, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_14x10x9, send_bit_count, port5, Accumulator, 497296000, 67, 4587520, 293601280, 71680, 64, 64
rtr_14x10x9, send_packet_count, port5, Accumulator, 497296000, 67, 71680, 71680, 71680, 1, 1
rtr_14x10x9, output_port_stalls, port5, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_14x10x9, idle_time, port5, Accumulator, 497296000, 67, 353936000, 74925720000000, 30366, 4000, 7998000
rtr_14x10x9, width_adj_count, port5, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_14x10x9, send_bit_count, port6, Accumulator, 497296000, 67, 2621440, 167772160, 40960, 64, 64
rtr_14x10x9, send_packet_count, port6, Accumulator, 497296000, 67, 40960, 40960, 40960, 1, 1
rtr_14x10x9, output_port_stalls, port6, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_14x10x9, idle_time, port6, Accumulator, 497296000, 67, 415376000, 12448824000000, 27321, 4000, 726000
rtr_14x10x9, width_adj_count, port6, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_14x10x9, xbar_stalls, port0, Accumulator, 497296000, 67, 6146, 6146, 6146, 1, 1
rtr_14x10x9, xbar_stalls, port1, Accumulator, 497296000, 67, 33832, 33832, 33832, 1, 1
rtr_14x10x9, xbar_stalls, port2, Accumulator, 497296000, 67, 5869, 5869, 5869, 1, 1
rtr_14x10x9, xbar_stalls, port3, Accumulator, 497296000, 67, 9755, 9755, 9755, 1, 1
rtr_14x10x9, xbar_stalls, port4, Accumulator, 497296000, 67, 5071, 5071, 5071, 1, 1
rtr_14x10x9, xbar_stalls, port5, Accumulator, 497296000, 67, 7738, 7738, 7738, 1, 1
rtr_14x10x9, xbar_stalls, port6, Accumulator, 497296000, 67, 32689, 32689, 32689, 1, 1
testNic_2478:networkIF, packet_latency, , Accumulator, 497296000, 67, 438317404, 17192474659314, 40960, 147, 194058
testNic_2478:networkIF, send_bit_count, , Accumulator, 497296000, 67, 2621440, 167772160, 40960, 64, 64
testNic_2478:networkIF, output_port_stalls, , Accumulator, 497296000, 67, 38155000, 140233000000, 12944, 2000, 16000
testNic_2478:networkIF, idle_time, , Accumulator, 497296000, 67, 1325000, 33485000000, 91, 2000, 56000
rtr_15x10x9, send_bit_count, port0, Accumulator, 497296000, 67, 5898240, 377487360, 92160, 64, 64
rtr_15x10x9, send_packet_count, port0, Accumulator, 497296000, 67, 92160, 92160, 92160, 1, 1
rtr_15x10x9, output_port_stalls, port0, Accumulator, 497296000, 67, 1234000, 2580000000, 604, 2000, 6000
rtr_15x10x9, idle_time, port0, Accumulator, 497296000, 67, 307406000, 35894696812000000, 10921, 4000, 189452000
rtr_15x10x9, width_adj_count, port0, Accumulator, 497296000, 67, 0, 0, 0, 0, 0
rtr_15x10x9, send_bit_count, port1, Accumulator, 497296000, 67, 4587520, 293601280, 71680, 64, 64
