ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_11x1x9, send_bit_count, port0, Accumulator, 497296000, 63, 5898240, 377487360, 92160, 64, 64
rtr_11x1x9, send_packet_count, port0, Accumulator, 497296000, 63, 92160, 92160, 92160, 1, 1
rtr_11x1x9, output_port_stalls, port0, Accumulator, 497296000, 63, 83466000, 796236000000, 14221, 2000, 40000
rtr_11x1x9, idle_time, port0, Accumulator, 497296000, 63, 195856000, 5756241472000000, 10793, 4000, 75852000
rtr_11x1x9, width_adj_count, port0, Accumulator, 497296000, 63, 0, 0, 0, 0, 0
rtr_11x1x9, send_bit_count, port1, Accumulator, 497296000, 63, 4587520, 293601280, 71680, 64, 64
rtr_11x1x9, send_packet_count, port1, Accumulator, 497296000, 63, 71680, 71680, 71680, 1, 1
rtr_11x1x9, output_port_stalls, port1, Accumulator, 497296000, 63, 36000, 72000000, 18, 2000, 2000
rtr_11x1x9, idle_time, port1, Accumulator, 497296000, 63, 353544000, 76113720000000, 12406, 4000, 4284000
rtr_11x1x9, width_adj_count, port1, Accumulator, 497296000, 63, 0, 0, 0, 0, 0
rtr_11x1x9, send_bit_count, port2, Accumulator, 497296000, 63, 5898240, 377487360, 92160, 64, 64
rtr_11x1x9, send_packet_count, port2, Accumulator, 497296000, 63, 92160, 92160, 92160, 1, 1
rtr_11x1x9, output_port_stalls, port2, Accumulator, 497296000, 63, 0, 0, 0, 0, 0
rtr_11x1x9, idle_time, port2, Accumulator, 497296000, 63, 312976000, 12960664000000, 37169, 4000, 3036000
rtr_11x1x9, width_adj_count, port2, Accumulator, 497296000, 63, 0, 0, 0, 0, 0
rtr_11x1x9, send_bit_count, port3, Accumulator, 497296000, 63, 4587520, 293601280, 71680, 64, 64
rtr_11x1x9, send_packet_count, port3, Accumulator, 497296000, 63, 71680, 71680, 71680, 1, 1
rtr_11x1x9, output_port_stalls, port3, Accumulator, 497296000, 63, 0, 0, 0, 0, 0
rtr_11x1x9, idle_time, port3, Accumulator, 497296000, 63, 353936000, 6947960000000, 35564, 4000, 730000
rtr_11x1x9, width_adj_count, port3, Accumulator, 497296000, 63, 0, 0, 0, 0, 0
rtr_11x1x9, send_bit_count, port4, Accumulator, 497296000, 63, 5898240, 377487360, 92160, 64, 64
rtr_11x1x9, send_packet_count, port4, Accumulator, 497296000, 63, 92160, 92160, 92160, 1, 1
rtr_11x1x9, output_port_stalls, port4, Accumulator, 497296000, 63, 54000, 108000000, 27, 2000, 2000
rtr_11x1x9, idle_time, port4, Accumulator, 497296000, 63, 312034000, 23934116000000, 31762, 4000, 4150000
rtr_11x1x9, width_adj_count, port4, Accumulator, 497296000, 63, 0, 0, 0, 0, 0
rtr_11x1x9, send_bit_count, port5, Accumulator, 497296000, 63, 4587520, 293601280, 71680, 64, 64
